"filename", "language", "JSON", "TypeScript", "CSS", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 21, 0, 131
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 6, 2, 37
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 5, 24
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\e2e\tsconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 1, 1, 14
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\karma.conf.js", "JavaScript", 0, 0, 0, 37, 0, 0, 6, 2, 45
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\package-lock.json", "JSON", 15073, 0, 0, 0, 0, 0, 0, 1, 15074
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app-routing.module.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app.component.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 2, 3
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 5, 36
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\app.module.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 4, 49
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\auth-guard.guard.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\auth-guard.guard.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\client-generated.ts", "TypeScript", 0, 1823, 0, 0, 0, 0, 8, 151, 1982
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\existing-sheets\existing-sheets.component.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 4, 25
